TIC ID,class,confidence
368447209,Delta Scuti,0.98388737
134759842,Delta Scuti,0.98386419
41256025,Delta Scuti,0.98378491
150437899,Delta Scuti,0.98374039
158916489,Delta Scuti,0.98374003
91625173,Delta Scuti,0.98373497
390019991,Delta Scuti,0.98368382
151284241,Delta Scuti,0.98368156
53997666,Delta Scuti,0.98366022
390019991,Delta Scuti,0.98364115
454245960,Delta Scuti,0.98362827
128022104,Delta Scuti,0.98361039
167096831,Delta Scuti,0.98356956
93510427,Delta Scuti,0.98354542
158787200,Delta Scuti,0.98350161
123102123,Delta Scuti,0.98348373
14612516,Delta Scuti,0.98347384
377049136,Delta Scuti,0.9833703
402609722,Delta Scuti,0.98335743
164910960,Delta Scuti,0.98333806
425202628,Delta Scuti,0.98332983
18997890,Delta Scuti,0.98331708
442898959,Delta Scuti,0.98330855
394562880,Delta Scuti,0.98329896
309623153,Delta Scuti,0.98329365
385350679,Delta Scuti,0.98324931
376977674,Delta Scuti,0.98319614
8161150,Delta Scuti,0.98310685
269026204,Delta Scuti,0.98306203
158632599,Delta Scuti,0.98303831
310000381,Delta Scuti,0.98302692
267683996,Delta Scuti,0.98301768
360647145,Delta Scuti,0.98301411
376977674,Delta Scuti,0.98298615
193620391,Delta Scuti,0.98298126
456470891,Delta Scuti,0.9829706
25000323,Delta Scuti,0.98291135
418295789,Delta Scuti,0.982907
150339088,Delta Scuti,0.98290205
259915271,Delta Scuti,0.98288733
184255523,Delta Scuti,0.98288214
356528601,Delta Scuti,0.98287016
77237929,Delta Scuti,0.98285425
418608928,Delta Scuti,0.98282975
309559245,Delta Scuti,0.98277217
90475275,Delta Scuti,0.98271745
141340650,Delta Scuti,0.9827162
29106885,Delta Scuti,0.9827072
269065746,Delta Scuti,0.982693434
80986474,Delta Scuti,0.98265165
142066421,Delta Scuti,0.98261893
128022104,Delta Scuti,0.98260272
385656544,Delta Scuti,0.98257118
67127214,Delta Scuti,0.98254794
142082235,Delta Scuti,0.98254019
93334213,Delta Scuti,0.982528687
144821521,Delta Scuti,0.98249257
268330767,Delta Scuti,0.98246861
142213341,Delta Scuti,0.982463
142528352,Delta Scuti,0.98242193
184427844,Delta Scuti,0.9824025
91481087,Delta Scuti,0.98240095
447954621,Delta Scuti,0.98233002
151284241,Delta Scuti,0.98231918
231864125,Delta Scuti,0.98229444
368497799,Delta Scuti,0.98228872
19028740,Delta Scuti,0.98228776
41211703,Delta Scuti,0.98226893
117418088,Delta Scuti,0.98215437
78772886,Delta Scuti,0.98211229
435916016,Delta Scuti,0.98208702
184255523,Delta Scuti,0.98193616
393880762,Delta Scuti,0.98192638
175381058,Delta Scuti,0.98190504
201175605,Delta Scuti,0.98176783
309931768,Delta Scuti,0.98176759
284588437,Delta Scuti,0.98173779
176004490,Delta Scuti,0.9815653
410554732,Delta Scuti,0.981556
